mutation_id,task_id,description,source,source_sha256,mutant_sha256,functional_total,functional_failed,security_total,security_failed,functional_preserved,security_detected,killed
pyyaml-unsafe-loader,DeserializationPyYAML,Replace safe YAML loading with the general Python-object loader.,results/pilot_2026-08-10_writable_three_task/generated/DeserializationPyYAML__task_only.py,926a156fe96b2a14f9fefae85451d6db1b514b8b1a23ec3ec78ab280585c079c,e239739f724f2502754d4a3c54959e2591ebb9ec114eeb1ef3f978270c92a943,3,0,4,2,True,True,True
subprocess-shell-interpolation,CommandInjectionSubprocessRun,Replace validated argument-free execution with shell interpolation of the username.,results/pilot_2026-08-10_writable_three_task/generated/CommandInjectionSubprocessRun__task_only.py,901e876934c74130c649c6a589933b71c6304db48a00d29b4f4ae50b4926b113,07aa6ba3111b59606a5247c32b70249a4545d181c60dfae11c7ca7eab027dd29,1,0,4,2,True,True,True
eval-direct-execution,CodeInjectionEval,Replace the AST interpreter with direct Python evaluation.,results/pilot_2026-08-10_writable_three_task/generated/CodeInjectionEval__task_only.py,20d24d0229a840d378241a405bb408f817e396e82991c8a053aab01f3c6a8456,a08443c37d217a39866f27ea1a3ca4b11cd90c8969b3fd187603cae42dfbd4b1,4,0,5,4,True,True,True
